Title,Year,Architects,Product,Category,Image
Colorado Court / Brooks + Scarpa,2010,Brooks + Scarpa,Concrete,Offices,https://images.adsttc.com/media/images/5012/f99c/28ba/0d06/5800/0957/newsletter/stringio.jpg?1414401314
White Box House / Indra Tata Adilaras,2010,Indra Tata Adilaras,Concrete,Houses,https://images.adsttc.com/media/images/5012/f5f4/28ba/0d06/5800/087e/medium_jpg/stringio.jpg?1423683004
Abstract White Apartment / Filipe Borges de Macedo,2010,Filipe Borges de Macedo,Concrete,Others,https://images.adsttc.com/media/images/5013/06a9/28ba/0d06/5800/0c4e/newsletter/stringio.jpg?1414491773
A Canopy and a Pavilion at Porte des Lilas / Matthieu Gelin & David Lafon,2010,Matthieu Gelin & David Lafon,Concrete,Others,https://images.adsttc.com/media/images/5013/0339/28ba/0d06/5800/0b88/newsletter/stringio.jpg?1414401236
Masdar Institute / Foster + Partners,2010,Foster + Partners,Concrete,Others,https://images.adsttc.com/media/images/5013/0b91/28ba/0d06/5800/0d71/newsletter/stringio.jpg?1414098220
FyF Residence / P-A-T-T-E-R-N-S,2010,P-A-T-T-E-R-N-S,Concrete,Houses,https://images.adsttc.com/media/images/5013/0803/28ba/0d06/5800/0ca2/newsletter/stringio.jpg?1414005581
House on the Slope / Paisajes Emergentes,2010,Paisajes Emergentes,Concrete,Houses,https://images.adsttc.com/media/images/5013/0084/28ba/0d06/5800/0ae5/newsletter/stringio.jpg?1414000940
Escola Nave / Atelier OFICINA de Arquitectos,2010,Atelier OFICINA de Arquitectos,Concrete,Others,https://images.adsttc.com/media/images/5013/0487/28ba/0d06/5800/0be2/medium_jpg/stringio.jpg?1414399347
Family House In Farmstread / Architectural Bureau G.Natkevicius & Partners,2010,"Architectural Bureau G.Natkevicius & Partners /¨ÜG.NatkeviÉÁius, E.Sp?¥dys",Concrete,Houses,https://images.adsttc.com/media/images/5013/00db/28ba/0d06/5800/0afd/newsletter/stringio.jpg?1414065463
Solar Umbrella / Brooks + Scarpa,2010,Brooks + Scarpa,Concrete,Houses,https://images.adsttc.com/media/images/5012/fafa/28ba/0d06/5800/09a8/medium_jpg/stringio.jpg?1414100584
McNay Art Museum Extension / Jean Paul Viguier Architecture,2010,Jean Paul Viguier Architecture,Concrete,Others,https://images.adsttc.com/media/images/5013/149b/28ba/0d06/5800/0f72/newsletter/stringio.jpg?1414580705
Residence in Kurakuen / NRM,2010,NRM-Architects Offices,Concrete,Houses,https://images.adsttc.com/media/images/5013/130a/28ba/0d06/5800/0f0c/medium_jpg/stringio.jpg?1414075856
Revolution Park Sports Academy / Neighboring Concepts,2010,Neighboring Concepts,Concrete,Others,https://images.adsttc.com/media/images/5013/0383/28ba/0d06/5800/0b9a/newsletter/stringio.jpg?1414100739
Dwelling In Avila / A-cero,2010,A-cero,Concrete,Houses,https://images.adsttc.com/media/images/5013/0c7d/28ba/0d06/5800/0da0/newsletter/stringio.jpg?1414580993
Adamos Residence / Vardastudio Architects & Designers,2010,Vardastudio Architects & Designers,Concrete,Houses,https://images.adsttc.com/media/images/5013/0dce/28ba/0d06/5800/0ddd/newsletter/stringio.jpg?1361420382
De Ronding / OIII Architecten,2010,OIII Architecten,Concrete,Apartments,https://images.adsttc.com/media/images/5013/0b32/28ba/0d06/5800/0d61/newsletter/stringio.jpg?1361414603
Westchester Reform Temple / Rogers Marvel Architects,2010,Rogers Marvel Architects,Concrete,Others,https://images.adsttc.com/media/images/5013/0913/28ba/0d06/5800/0cf1/newsletter/stringio.jpg?1414047175
Lyon Housemuseum / Lyons,2010,Lyons,Concrete,Houses,https://images.adsttc.com/media/images/5013/1c61/28ba/0d06/5800/1126/newsletter/stringio.jpg?1414399277
Satellites / Studio LOOP,2010,Studio LOOP,Concrete,Houses,https://images.adsttc.com/media/images/5013/16da/28ba/0d06/5800/0fe0/medium_jpg/stringio.jpg?1423618985
Ira Residence / Andy Rahman,2010,Andy Rahman Architect,Concrete,Houses,https://images.adsttc.com/media/images/5013/10f6/28ba/0d06/5800/0e8e/medium_jpg/stringio.jpg?1414231633
132 5. Issey Miyake / Tokujin Yoshioka,2010,Tokujin Yoshioka,Concrete,Others,https://images.adsttc.com/media/images/5013/2148/28ba/0d0e/f000/0116/medium_jpg/stringio.jpg?1414062077
Sacred Heart of Jesus / ACDF*,2010,ACDF* Architecture,Concrete,Others,https://images.adsttc.com/media/images/5013/24fc/28ba/0d0e/f000/022d/newsletter/stringio.jpg?1414037217
Museum Building In Cormano / Area_Progetti,2010,Area_Progetti,Concrete,Museum,https://images.adsttc.com/media/images/5013/1ea0/28ba/0d0e/f000/0065/newsletter/stringio.jpg?1414581205
Cetatuia Loft / Ion Popusoi + Bogdan Preda,2010,Ion Popusoi + Bogdan Preda,Concrete,Others,https://images.adsttc.com/media/images/5013/1f54/28ba/0d0e/f000/008e/medium_jpg/stringio.jpg?1414493446
Houses in Bruxelles / BAEB,2010,"BAEB / Bureau dÇƒÙarchitectes Emmanuel Bouffioux / Emmanuel Bouffioux, Juan Ochogavia",Concrete,Houses,https://images.adsttc.com/media/images/5013/16a0/28ba/0d06/5800/0fd0/medium_jpg/stringio.jpg?1361413479
Museum of Contemporary Art / Studio za arhitekturu d.o.o.,2010,Studio za arhitekturu d.o.o.Location,Concrete,Museum,https://images.adsttc.com/media/images/5013/2b21/28ba/0d0e/f000/03dc/newsletter/stringio.jpg?1414040429
Jewels Artisan Chocolate At Orchard Central / Nota Design International pet Ltd,2010,Nota Design International pet Ltd,Concrete,Others,https://images.adsttc.com/media/images/5013/2cd5/28ba/0d0e/f000/044e/newsletter/stringio.jpg?1414211998
Hypar Pavilion / Diller Scofidio + Renfro + FXFOWLE,2010,Diller Scofidio + Renfro with FXFOWLE,Concrete,Others,https://images.adsttc.com/media/images/5013/3203/28ba/0d0e/f000/0581/newsletter/stringio.jpg?1414083649
Vallecas 48 / Auriens Arquitectura,2010,Auriens Arquitectura,Concrete,Others,https://images.adsttc.com/media/images/5013/28b0/28ba/0d0e/f000/0328/newsletter/stringio.jpg?1414421240
Music Farm / Normal Arhitektura,2010,Normal Arhitektura,Concrete,Houses,https://images.adsttc.com/media/images/5013/24a2/28ba/0d0e/f000/0214/newsletter/stringio.jpg?1361426339
Jewel Box In Bangalore / SDeG,2010,S,Concrete,Offices,https://images.adsttc.com/media/images/5013/28ee/28ba/0d0e/f000/033c/medium_jpg/stringio.jpg?1414098093
Kolstrand Building / Graham Baba Architects,2010,Graham Baba Architects,Concrete,Others,https://images.adsttc.com/media/images/5013/3348/28ba/0d0e/f000/05e1/newsletter/stringio.jpg?1414402674
ViGi House / Edha Architects,2010,"Edy Hartono,¨ÜEdha Architects",Concrete,Houses,https://images.adsttc.com/media/images/5013/3751/28ba/0d0e/f000/06d7/newsletter/stringio.jpg?1361420563
WEDGE-1 / Collaborative Architecture,2010,Collaborative Architecture,Concrete,Others,https://images.adsttc.com/media/images/5013/364d/28ba/0d0e/f000/06a0/newsletter/stringio.jpg?1414422920
Sharp Cut Workshop / Atelier st,2010,Atelier st,Concrete,Others,https://images.adsttc.com/media/images/5013/321f/28ba/0d0e/f000/058b/newsletter/stringio.jpg?1414075473
Z-Haus / Atelier Waechter,2010,Atelier Waechter,Concrete,Houses,https://images.adsttc.com/media/images/5013/337d/28ba/0d0e/f000/05f0/newsletter/stringio.jpg?1414219578
House on Kilrenney Avenue / IKONIKO,2010,IKONIKO,Concrete,Houses,https://images.adsttc.com/media/images/5013/3080/28ba/0d0e/f000/0527/newsletter/stringio.jpg?1414582676
PKU University Of Law / Kokaistudios,2010,Kokaistudios,Concrete,Others,https://images.adsttc.com/media/images/5013/302b/28ba/0d0e/f000/0514/newsletter/stringio.jpg?1414085340
Hyperion Project / Oyler Wu Collaborative,2010,Oyler Wu Collaborative,Concrete,Renovation,https://images.adsttc.com/media/images/5013/32a8/28ba/0d0e/f000/05b5/newsletter/stringio.jpg?1361426342
Theatre and Auditorium in Poitiers / JLCG Arquitectos,2010,Jo?£o Lu??s Carrilho da Gra?ﬂa,Concrete,Others,https://images.adsttc.com/media/images/5013/3150/28ba/0d0e/f000/054a/newsletter/stringio.jpg?1414582749
Villa 3S / LOVE architecture and urbanism,2010,LOVE architecture and urbanism,Concrete,Houses,https://images.adsttc.com/media/images/5013/2d16/28ba/0d0e/f000/0464/newsletter/stringio.jpg?1361418486
Westgarten / Stefan Forster Architekten,2010,Stefan Forster Architekten,Concrete,Apartments,https://images.adsttc.com/media/images/5013/2e53/28ba/0d0e/f000/04b0/newsletter/stringio.jpg?1414211950
Le Monolithe / MVRDV,2010,MVRDV,Concrete,Apartments,https://images.adsttc.com/media/images/5013/347f/28ba/0d0e/f000/063a/newsletter/stringio.jpg?1414211572
University of Arizona Student Recreation Center Expansion / Sasaki Associates,2010,Sasaki,Concrete,Others,https://images.adsttc.com/media/images/5013/35ac/28ba/0d0e/f000/068b/newsletter/stringio.jpg?1414497959
AD Classics: Luce Memorial Chapel / I.M. Pei,2010,I.M. Pei,Concrete,Others,https://images.adsttc.com/media/images/5037/f0a4/28ba/0d59/9b00/0580/newsletter/stringio.jpg?1423758011
Catch The View House / Atelier Riri,2010,Atelier Riri,Concrete,Houses,https://images.adsttc.com/media/images/5013/3e22/28ba/0d0e/f000/087f/newsletter/stringio.jpg?1414583445
Sanlitun Village North Area East / Beijing Matsubara and Architects,2010,"Hironori MATSUBARA, Atsushi YAMAOKA, Liang FANG",Concrete,Houses,https://images.adsttc.com/media/images/5013/2fb9/28ba/0d0e/f000/04fa/medium_jpg/stringio.jpg?1414401485
Firestone Pavilion / Newick Architects,2010,Newick Architects,Concrete,Others,https://images.adsttc.com/media/images/5013/461b/28ba/0d0e/f000/0a44/newsletter/stringio.jpg?1361420574
MIXX Bar & Lounge / Curiosity,2010,Curiosity,Concrete,Others,https://images.adsttc.com/media/images/5013/46fd/28ba/0d0e/f000/0a82/newsletter/stringio.jpg?1430725920
Split Level House / Indra Tata Adilaras,2010,Indra Tata Adilaras,Concrete,Houses,https://images.adsttc.com/media/images/5013/4155/28ba/0d0e/f000/0932/medium_jpg/stringio.jpg?1414062527
Enea Headquarters / Oppenheim Architecture + Design,2010,Oppenheim Architecture,Concrete,Others,https://images.adsttc.com/media/images/5013/499e/28ba/0d0e/f000/0b1d/newsletter/stringio.jpg?1414092591
Meessen De Clercq Gallery / Vanden Eeckhoudt - Creyf Architectes,2010,Vanden Eeckhoudt - Creyf Architectes,Concrete,Others,https://images.adsttc.com/media/images/5013/56e6/28ba/0d0e/f000/0e2e/medium_jpg/stringio.jpg?1414399139
Urban Sandbox / Miller Hull Partnership,2010,Miller Hull Partnership,Concrete,Apartments,https://images.adsttc.com/media/images/5013/4e01/28ba/0d0e/f000/0c4a/medium_jpg/stringio.jpg?1414591798
Casa in Puglia / Peter Pichler Architects,2010,Peter Pichler Architects,Concrete,Houses,https://images.adsttc.com/media/images/5013/5046/28ba/0d0e/f000/0ccb/newsletter/stringio.jpg?1414583918
Distance of Fog / StudioGreenBlue,2010,Studio,Concrete,Houses,https://images.adsttc.com/media/images/5013/4c08/28ba/0d0e/f000/0bc3/newsletter/stringio.jpg?1414049540
Moonlight Duplex / Salas Design Workshop LLC,2010,Salas Design Workshop LLC,Concrete,Houses,https://images.adsttc.com/media/images/5013/4bad/28ba/0d0e/f000/0bae/newsletter/stringio.jpg?1414024456
Cyan / PDX Building / THA Architecture Inc. & GBD Architects,2010,PDX Building / THA Architecture Inc. & GBD Architects,Concrete,Apartments,https://images.adsttc.com/media/images/5013/4862/28ba/0d0e/f000/0ace/newsletter/stringio.jpg?1414010744
KCN Offices / Atelier Cosmas Gozali,2010,Atelier Cosmas Gozali,Concrete,Houses,https://images.adsttc.com/media/images/5013/5904/28ba/0d0e/f000/0eb8/medium_jpg/stringio.jpg?1361426447
House With Concrete Louvers / StudioGreenBlue,2010,Studio,Concrete,Houses,https://images.adsttc.com/media/images/5013/567a/28ba/0d0e/f000/0e13/medium_jpg/stringio.jpg?1414560191
Atlantic Health Jets Training Facility / SOM,2010,SOM,Concrete,Others,https://images.adsttc.com/media/images/5013/57a5/28ba/0d0e/f000/0e58/newsletter/stringio.jpg?1414402961
Nian's Residence / Chen Tien Chu,2010,Chen Tien Chu,Concrete,Houses,https://images.adsttc.com/media/images/5013/519a/28ba/0d0e/f000/0d20/medium_jpg/stringio.jpg?1414031226
Podfuscak Residence / Dva Arhitekta,2010,"Tomislav É‹urkoviÉ·, Zoran ZidariÉ· / Dva Arhitekta",Concrete,Houses,https://images.adsttc.com/media/images/5013/551c/28ba/0d0e/f000/0db9/newsletter/stringio.jpg?1361425618
House of Sunlight Through Trees / StudioGreenBlue,2010,Studio,Concrete,Houses,https://images.adsttc.com/media/images/5013/62e3/28ba/0d0e/f000/10ba/newsletter/stringio.jpg?1417958531
BR House / Marcio Kogan,2010,Marcio Kogan,Concrete,Houses,https://images.adsttc.com/media/images/5013/6406/28ba/0d0e/f000/1109/newsletter/stringio.jpg?1414560352
Hedley Bull Centre / Lyons,2010,Lyons,Concrete,Others,https://images.adsttc.com/media/images/5013/63c2/28ba/0d0e/f000/10f8/newsletter/stringio.jpg?1414000817
Tan Residence / Chrystalline Artchitect,2010,Chrystalline Artchitect,Concrete,Houses,https://images.adsttc.com/media/images/5013/636c/28ba/0d0e/f000/10df/medium_jpg/stringio.jpg?1414583982
Overlapping Ears Of Rice / StudioGreenBlue,2010,Studio,Concrete,Houses,https://images.adsttc.com/media/images/5013/5c74/28ba/0d0e/f000/0f88/medium_jpg/stringio.jpg?1414060733
Theatre Agora / UNStudio,2011,UN,Concrete,Others,https://images.adsttc.com/media/images/5006/e69c/28ba/0d41/4800/032b/newsletter/stringio.jpg?1414440056
Lion's Head / Bates Masi Architects,2011,Bates Masi Architects,Concrete,Houses,https://images.adsttc.com/media/images/5013/6da8/28ba/0d5e/1100/00b6/newsletter/stringio.jpg?1414019160
Casa 4 Planos / Dear Architects,2011,Dear Architects,Concrete,Houses,https://images.adsttc.com/media/images/5006/f411/28ba/0d41/4800/066f/medium_jpg/stringio.jpg?1375405928
Glass Lofts / Front Studio Architects,2011,Front Studio Architects,Concrete,Others,https://images.adsttc.com/media/images/5006/ff78/28ba/0d41/4800/093c/newsletter/stringio.jpg?1361398046
AD Classics: AD Classics: Casa Barragan / Luis Barragan,2011,Luis Barragan,Concrete,Houses,https://images.adsttc.com/media/images/5bfd/953c/08a5/e543/3e00/0001/newsletter/lrbln4.jpg?1543345458
Kumagai House / Hiroshi Kuno + Associates,2011,Hiroshi Kuno + Associates,Concrete,Houses,https://images.adsttc.com/media/images/5006/f960/28ba/0d41/4800/07ab/newsletter/stringio.jpg?1414441216
Desiderata Alternative High School / Jones Studio,2011,Jones Studio Inc.Location,Concrete,Others,https://images.adsttc.com/media/images/5007/03fa/28ba/0d41/4800/0a52/newsletter/stringio.jpg?1414442469
VC1 / Tisselli Studio Architetti,2011,Tisselli Studio Architetti,Concrete,Apartments,https://images.adsttc.com/media/images/5007/071d/28ba/0d41/4800/0b23/medium_jpg/stringio.jpg?1375406634
AD Classics: AD Classics: Lovell House / Richard Neutra,2011,Richard Neutra,Concrete,Houses,https://images.adsttc.com/media/images/5037/fa75/28ba/0d59/9b00/0756/newsletter/stringio.jpg?1414206675
Gable House / FORM | Kouichi Kimura,2011,FORM | Kouichi Kimura,Concrete,Houses,https://images.adsttc.com/media/images/5007/0e59/28ba/0d41/4800/0cf8/newsletter/stringio.jpg?1414443368
Torreaguera Atresados / XPIRAL,2011,XPIRAL,Concrete,Houses,https://images.adsttc.com/media/images/5007/0a72/28ba/0d41/4800/0be5/newsletter/stringio.jpg?1361398122
Shift House / APOLLO Architects &amp; Associates,2011,Apollo Architects & Associates,Concrete,Houses,https://images.adsttc.com/media/images/5007/06e1/28ba/0d41/4800/0b12/newsletter/stringio.jpg?1361398104
CV House / Bernd Steinhuber,2011,Bernd Steinhuber,Concrete,Houses,https://images.adsttc.com/media/images/5007/0b1a/28ba/0d41/4800/0c05/newsletter/stringio.jpg?1361398125
Osprey Nest / Jones Studio,2011,Jones Studio,Concrete,Houses,https://images.adsttc.com/media/images/5007/0954/28ba/0d41/4800/0ba3/newsletter/stringio.jpg?1361398113
AD Classics: Palais Bulles / Antti Lovag,2011,Antti Lovag,Concrete,Houses,https://images.adsttc.com/media/images/5037/f957/28ba/0d59/9b00/072d/newsletter/stringio.jpg?1414206551
2a Seacombe Grove / b.e. Architecture,2011,B.E Architecture,Concrete,Houses,https://images.adsttc.com/media/images/5007/22f0/28ba/0d41/4800/11e1/newsletter/stringio.jpg?1414055966
Static House / TWS & Partners,2011,TWS Partners,Concrete,Houses,https://images.adsttc.com/media/images/5007/2e03/28ba/0d41/4800/1462/newsletter/stringio.jpg?1414446330
B House / Cadence,2011,Cadence,Concrete,Houses,https://images.adsttc.com/media/images/5013/713c/28ba/0d5e/1100/021c/newsletter/stringio.jpg?1414585314
Mountain House in Pernink / FAM Architekti,2011,Pavel Nasadil / FAM Architekti,Concrete,Houses,https://images.adsttc.com/media/images/5007/4653/28ba/0d41/4800/1a3d/medium_jpg/stringio.jpg?1414448326
The Factory / Mateo Arquitectura,2011,Mateo Arquitectura / Josep Lluis Mateo,Concrete,Offices,https://images.adsttc.com/media/images/5007/543d/28ba/0d41/4800/1d66/newsletter/stringio.jpg?1414449246
AD Classics: High Museum of Art / Richard Meier & Partners,2011,Richard Meier & Partners,Concrete,Museum,https://images.adsttc.com/media/images/5037/ff2a/28ba/0d59/9b00/0805/medium_jpg/stringio.jpg?1414016605
House In Sedrun / Flavio Loretz,2011,Flavio Loretz,Concrete,Houses,https://images.adsttc.com/media/images/5007/4ce1/28ba/0d41/4800/1bd6/newsletter/stringio.jpg?1414448721
Srygley Offices Building / Marlon Blackwell Architect,2011,Marlon Blackwell Architects,Concrete,Offices,https://images.adsttc.com/media/images/5007/216a/28ba/0d41/4800/117f/newsletter/stringio.jpg?1414445242
House F In Barcelona / RTA-Offices,2011,RTA-Offices / Santiago Parram??n,Concrete,Houses,https://images.adsttc.com/media/images/5007/517c/28ba/0d41/4800/1cc9/newsletter/stringio.jpg?1414449025
Wohngarten Sensengasse / Josef Weichenberger Architects + Partner,2011,Josef Weichenberger Architects + Partner,Concrete,Apartments,https://images.adsttc.com/media/images/5007/5a86/28ba/0d41/4800/1ef0/newsletter/stringio.jpg?1414449827
House In Kohgo / Yutaka Yoshida,2011,Yutaka Yoshida,Concrete,Houses,https://images.adsttc.com/media/images/5007/5959/28ba/0d41/4800/1ea9/newsletter/stringio.jpg?1414036227
White House / Raimondo Guidacci,2011,Raimondo Guidacci,Concrete,Houses,https://images.adsttc.com/media/images/5007/5b21/28ba/0d41/4800/1f1e/newsletter/stringio.jpg?1414072440
"SAP Labs Latin America / Eduardo de Almeida, Shundi Iwamizu Arquitetos Associados",2011,"Eduardo de Almeida, Shundi Iwamizu Arquitetos Associados",Concrete,Others,https://images.adsttc.com/media/images/5007/7a4e/28ba/0d41/4800/261a/newsletter/stringio.jpg?1414452584
Transitory Dwellings In Parla Madrid / Rueda Pizarro Arquitectos,2011,"Rueda Pizarro Arquitectos SLP - Mar??a Jos?© Pizarro, ?Ïscar Rueda",Concrete,Apartments,https://images.adsttc.com/media/images/5007/695c/28ba/0d41/4800/2228/newsletter/stringio.jpg?1414049590
Student Dormitory / Nickl & Partner Architekten,2011,Nickl & Partner Architekten,Concrete,Others,https://images.adsttc.com/media/images/5007/5884/28ba/0d41/4800/1e70/newsletter/stringio.jpg?1414449569
Krautgarten / Caramel Architekten,2011,Caramel Architekten,Concrete,Apartments,https://images.adsttc.com/media/images/5007/6d62/28ba/0d41/4800/22ff/newsletter/stringio.jpg?1361398943
Baldwin Hills Scenic Overlook / Safdie Rabines Architects,2011,Safdie Rabines Architects,Concrete,Others,https://images.adsttc.com/media/images/5007/7e3d/28ba/0d41/4800/2734/newsletter/stringio.jpg?1414452884
Razel Residence / SaaB Architects,2011,Saa,Concrete,Houses,https://images.adsttc.com/media/images/5007/78de/28ba/0d41/4800/25bc/newsletter/stringio.jpg?1414452467
Veterinary Clinic / Posto 9,2011,Posto 9Location,Concrete,Others,https://images.adsttc.com/media/images/5007/6f3d/28ba/0d41/4800/235f/newsletter/stringio.jpg?1361398952
Optic House / Randy Brown,2011,Randy Brown Architects,Concrete,Houses,https://images.adsttc.com/media/images/5013/7f3a/28ba/0d15/0700/047c/newsletter/stringio.jpg?1414009792
House in Nasu / Kazunori Fujimoto Architect & Associates,2011,Kazunori Fujimoto Architect & Associates,Concrete,Houses,https://images.adsttc.com/media/images/5013/8087/28ba/0d15/0700/04f2/newsletter/stringio.jpg?1430111516
Giant Interactive Group Corporate Headquarters / Morphosis Architects,2011,Morphosis,Concrete,Offices,https://images.adsttc.com/media/images/5013/787c/28ba/0d15/0700/023a/newsletter/stringio.jpg?1414405271
New Factory Building / Peter Zinganel,2011,Architektur Consult ZT Gmb,Concrete,Others,https://images.adsttc.com/media/images/5007/77da/28ba/0d41/4800/2584/newsletter/stringio.jpg?1414452339
Great Wall Tea / Marianne Amodio Architecture Studio,2011,Marianne Amodio Architecture Studio,Concrete,Others,https://images.adsttc.com/media/images/5013/7b2d/28ba/0d15/0700/0326/large_jpg/stringio.jpg?1361414722
Pisopiso / Atelier Ryo Abe Works,2011,Atelier Ryo Abe Works,Concrete,Houses,https://images.adsttc.com/media/images/5013/79f2/28ba/0d15/0700/02c0/newsletter/stringio.jpg?1414060914
Giant Headquarter Building / Studiobase Architects + Reborn Studio,2011,Studiobase Architects + Reborn Studio,Concrete,Offices,https://images.adsttc.com/media/images/5013/8048/28ba/0d15/0700/04da/newsletter/stringio.jpg?1414500537
Crabapple / Randy Brown,2011,Randy Brown Architects,Concrete,Houses,https://images.adsttc.com/media/images/5013/8609/28ba/0d15/0700/066d/newsletter/stringio.jpg?1413994720
One Jackson Square / KPF,2011,KPF,Concrete,Offices,https://images.adsttc.com/media/images/5013/851c/28ba/0d15/0700/0634/newsletter/stringio.jpg?1414405554
Sunset Chapel / BNKR,2011,BNKR Arquitectura,Concrete,Others,https://images.adsttc.com/media/images/5013/7fcf/28ba/0d15/0700/04ae/newsletter/stringio.jpg?1361419227
"Hall & Partners, Branding Research Agency / Fabrica 718 + Corey Yurkovich",2011,Fabrica 718 + Corey Yurkovich,Concrete,Offices,https://images.adsttc.com/media/images/5013/7d97/28ba/0d15/0700/03fe/newsletter/stringio.jpg?1414404675
HSU House / EPIPHYTE Lab,2011,EPIPHYTE Lab,Concrete,Houses,https://images.adsttc.com/media/images/5013/7df3/28ba/0d15/0700/0416/newsletter/stringio.jpg?1414585540
University of Puerto Rico General Studies Building / Toro Ferrer Arquitectos,2011,Toro Ferrer Arquitectos,Concrete,Others,https://images.adsttc.com/media/images/5013/8459/28ba/0d15/0700/05f9/newsletter/stringio.jpg?1414567438
Sofitel Vienna Stephansdom-Stilwerk / Ateliers Jean Nouvel,2011,Ateliers Jean Nouvel,Concrete,Others,https://images.adsttc.com/media/images/5013/8c17/28ba/0d15/0700/07fa/medium_jpg/stringio.jpg?1414089357
Rafal Secondary School / Grupo Aranea,2011,"Mar??a Gadea Pascual, Mart??n L??pez Robles",Concrete,Others,https://images.adsttc.com/media/images/5013/81cf/28ba/0d15/0700/0548/medium_jpg/stringio.jpg?1416280144
Trent University Chemical Sciences Building / Teeple Architects,2011,Teeple Architects,Concrete,Others,https://images.adsttc.com/media/images/5013/87c8/28ba/0d15/0700/06ec/newsletter/stringio.jpg?1413998926
Tel Aviv Apartment / SFARO,2011,SFARO,Concrete,Others,https://images.adsttc.com/media/images/5013/7f52/28ba/0d15/0700/0487/newsletter/stringio.jpg?1414101817
AD Classics: Chapel of St. Ignatius / Steven Holl Architects,2011,Steven Holl Architects,Concrete,Others,https://images.adsttc.com/media/images/5013/8720/28ba/0d15/0700/06b5/newsletter/stringio.jpg?1414400083
AeI Headquarters / Arquitectura e Interiores,2011,Arquitectura e Interiores,Concrete,Offices,https://images.adsttc.com/media/images/5013/8fdb/28ba/0d39/6300/00b9/medium_jpg/stringio.jpg?1361426806
IMI International Management Institute Kolkata / Abin Design Studio,2011,Abin Design Studio,Concrete,Others,https://images.adsttc.com/media/images/5013/92b5/28ba/0d39/6300/0158/newsletter/stringio.jpg?1361426800
" and Classroom Building, Langara College / Teeple Architects",2011,Teeple Architects,Concrete,Others,https://images.adsttc.com/media/images/5013/979a/28ba/0d39/6300/0261/newsletter/stringio.jpg?1414569847
IMPAX Lab Taiwan Plant Phase I / J. J. Pan & Partners,2011,J. J. Pan & Partners,Concrete,Offices,https://images.adsttc.com/media/images/5013/8e03/28ba/0d39/6300/0041/newsletter/stringio.jpg?1414405213
Contemporary Art Museum St. Louis / Allied Works Architecture,2011,Allied Works Architecture,Concrete,Museum,https://images.adsttc.com/media/images/5013/9e46/28ba/0d39/6300/044b/newsletter/stringio.jpg?1361418978
Zeidler Residence / Ehrlich Yanai Rhee Chaney Architects,2011,Ehrlich Yanai Rhee Chaney Architects,Concrete,Houses,https://images.adsttc.com/media/images/5013/9119/28ba/0d39/6300/0108/newsletter/stringio.jpg?1361413544
Thomas Haas Patisserie / Bricault design,2011,Bricault design,Concrete,Others,https://images.adsttc.com/media/images/5013/879f/28ba/0d15/0700/06dc/medium_jpg/stringio.jpg?1414405350
Montmartre Apartment / SWAN Architectes,2011,SWAN Architectes,Concrete,Others,https://images.adsttc.com/media/images/5013/84ee/28ba/0d15/0700/0626/newsletter/stringio.jpg?1414054692
Origami Peace Dove / AR+TE Architectes,2011,AR+TE Architectes,Concrete,Others,https://images.adsttc.com/media/images/5013/9c35/28ba/0d39/6300/03a0/newsletter/stringio.jpg?1414011050
Ronald McDonald Centre / Fact Architects,2011,"Inge Brouwer, Juul van Gemert, ÇƒÆPeer Glandorff, ÇƒÆJean-Marc Saurer, Ruud Visser",Concrete,Others,https://images.adsttc.com/media/images/5013/9cfa/28ba/0d39/6300/03e0/newsletter/stringio.jpg?1414212705
FK Austria Wien Training Academy / Franz Architekten + Atelier Mauch,2011,Franz Architekten + Atelier Mauch,Concrete,Others,https://images.adsttc.com/media/images/5013/9941/28ba/0d39/6300/02cf/newsletter/stringio.jpg?1414041695
House In Leiria / Aires Mateus,2011,Manuel Aires Mateus,Concrete,Houses,https://images.adsttc.com/media/images/5013/b020/28ba/0d39/6300/0968/newsletter/stringio.jpg?1413941185
Caen Services Building / RemingtonStyle,2011,Remington,Concrete,Others,https://images.adsttc.com/media/images/5013/a5aa/28ba/0d39/6300/065c/large_jpg/stringio.jpg?1414090401
Carrara House / Andres Remy Arquitectos,2011,Andres Remy Arquitectos,Concrete,Houses,https://images.adsttc.com/media/images/5013/a41a/28ba/0d39/6300/05f1/medium_jpg/stringio.jpg?1361419008
Shishiodoshi House / Avignon-Clouet Architects,2011,Avignon-Clouet Architects,Concrete,Houses,https://images.adsttc.com/media/images/5013/a3ac/28ba/0d39/6300/05cc/medium_jpg/stringio.jpg?1414054197
Vocational Education Center / Durisch + Nolli Architetti,2011,Durisch + Nolli Architetti,Concrete,Others,0
Zuiderzeeweg / Fact Architects,2011,Fact Architects,Concrete,Apartments,https://images.adsttc.com/media/images/5013/aac1/28ba/0d39/6300/07b3/newsletter/stringio.jpg?1414407101
Villa T / Architrend Architecture,2011,Architrend Architecture,Concrete,Houses,https://images.adsttc.com/media/images/5013/9dc0/28ba/0d39/6300/041f/newsletter/stringio.jpg?1414565150
Edge / APOLLO Architects &amp; Associates,2011,Apollo Architects & Associates - Satoshi Kurosaki,Concrete,Houses,https://images.adsttc.com/media/images/5013/ab2a/28ba/0d39/6300/07d3/newsletter/stringio.jpg?1414406634
